task,threshold,precision,recall,f1,roc_auc
hypoxemia,0.75,0.974025974025974,1.0,0.9868421052631579,0.9999685163321527
fever,0.48,0.9375,1.0,0.967741935483871,0.9999937032664306
abnormal_resting_hr,0.89,0.9116465863453815,1.0,0.9537815126050421,0.9999848949280404
activity_reduction,0.1,0.9868421052631579,1.0,0.9933774834437086,1.0
heat_stress,0.1,0.9643102264927934,0.9950424929178471,0.9794353433252004,0.9994217952402458
cold_stress,0.27,0.8838862559241706,1.0,0.9383647798742139,0.9999325843155707
